Id,Term,Definition,BusinessContext,Synonyms,RelatedTerms,Category,IsActive,UsageCount,LastUsed,CreatedDate,UpdatedDate,CreatedBy,UpdatedBy,Domain,Examples,MappedTables,MappedColumns,HierarchicalRelations,PreferredCalculation,DisambiguationRules,BusinessOwner,RegulationReferences,ConfidenceScore,AmbiguityScore,ContextualVariations,LastValidated,SemanticEmbedding,QueryPatterns,LLMPromptTemplates,DisambiguationContext,SemanticRelationships,ConceptualLevel,CrossDomainMappings,SemanticStability,InferenceRules,BusinessPurpose,RelatedBusinessTerms,BusinessFriendlyName,NaturalLanguageDescription,BusinessRules,ImportanceScore,UsageFrequency,RelationshipContext,DataGovernanceLevel,LastBusinessReview
103,Churn Rate,Percentage of players who stop playing over a specific period,Critical metric for player retention strategies,,,Analytics,1,0,NULL,2025-07-02 07:14:09.7069672,2025-07-02 07:14:09.7069673,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Analytics,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
104,Monthly Active Users (MAU),Number of unique players who engage with the platform in a given month,Broader engagement metric for business health,,,Analytics,1,0,NULL,2025-07-02 07:14:09.7081487,2025-07-02 07:14:09.7081489,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Analytics,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
105,Stake,The amount of money wagered on a sports bet,Fundamental unit of sports betting transactions,,,Sports Betting,1,0,NULL,2025-07-02 07:14:09.7085744,2025-07-02 07:14:09.7085745,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Sports Betting,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
106,Odds,The probability of an outcome expressed as a ratio for betting purposes,Determines potential winnings and implied probability,,,Sports Betting,1,0,NULL,2025-07-02 07:14:09.7092202,2025-07-02 07:14:09.7092204,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Sports Betting,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
107,Handicap,A betting market that gives one team a virtual advantage or disadvantage,Levels the playing field in uneven matches,,,Sports Betting,1,0,NULL,2025-07-02 07:14:09.7099052,2025-07-02 07:14:09.7099054,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Sports Betting,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
108,Parlay,A bet combining multiple selections where all must win for a payout,"Higher risk, higher reward betting option",,,Sports Betting,1,0,NULL,2025-07-02 07:14:09.7105329,2025-07-02 07:14:09.7105331,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Sports Betting,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
109,Over/Under,Betting on whether a statistic will be over or under a set number,Popular betting market for totals,,,Sports Betting,1,0,NULL,2025-07-02 07:14:09.7111094,2025-07-02 07:14:09.7111095,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Sports Betting,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
110,Point Spread,A handicap given to level the playing field between teams,Makes uneven matches more bettable,,,Sports Betting,1,0,NULL,2025-07-02 07:14:09.7116775,2025-07-02 07:14:09.7116777,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Sports Betting,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
111,Moneyline,A straight bet on which team or player will win,Simplest form of sports betting,,,Sports Betting,1,0,NULL,2025-07-02 07:14:09.7122425,2025-07-02 07:14:09.7122427,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Sports Betting,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
112,Vigorish (Vig),The commission charged by the bookmaker on losing bets,How sportsbooks generate profit,,,Sports Betting,1,0,NULL,2025-07-02 07:14:09.7126992,2025-07-02 07:14:09.7126993,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Sports Betting,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
113,Volatility,The risk level of a game indicating frequency and size of payouts,Helps players choose appropriate games for their risk tolerance,,,Gaming,1,0,NULL,2025-07-02 07:14:09.7131452,2025-07-02 07:14:09.7131453,Comprehensive Glossary Generator,Comprehensive Glossary Generator,Gaming,,,,,,,,,0.9500,0.0000,,NULL,,,,,,,,1.00,,NULL,NULL,NULL,NULL,NULL,0.90,0.80,NULL,NULL,NULL
