Id,TableName,SchemaName,BusinessPurpose,BusinessContext,PrimaryUseCase,CommonQueryPatterns,BusinessRules,IsActive,CreatedDate,UpdatedDate,CreatedBy,UpdatedBy,DomainClassification,NaturalLanguageAliases,UsagePatterns,DataQualityIndicators,RelationshipSemantics,ImportanceScore,UsageFrequency,LastAnalyzed,BusinessOwner,DataGovernancePolicies,SemanticDescription,BusinessProcesses,AnalyticalUseCases,ReportingCategories,SemanticRelationships,QueryComplexityHints,BusinessGlossaryTerms,SemanticCoverageScore,LLMContextHints,VectorSearchKeywords,RelatedBusinessTerms,BusinessFriendlyName,NaturalLanguageDescription,RelationshipContext,DataGovernanceLevel,LastBusinessReview
228,tbl_White_labels,common,To manage and track the performance of different white label partners in the online gambling platform.,General - Operational Data,"Used for tracking and analyzing the performance of white label partners, and for making strategic decisions based on their performance.",[],"[""Only authorized personnel can access this table"",""Data in this table should be updated on a daily basis"",""Any changes to the data in this table should be logged""]",1,2025-07-02 06:15:50.2640541,2025-07-02 06:46:07.9604381,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Brand Management,"[""White Label Performance"",""Partner Metrics"",""White Label Data""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.7000,0.8000,2025-07-02 06:46:07.9604385,Partnership Management Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the metadata of white label partners, including their performance metrics, financial data, and operational details in the online gambling domain.","[""White label partner management"",""Performance tracking"",""Financial reporting""]","[""Performance analysis of white label partners"",""Financial analysis of white label partners"",""Operational analysis of white label partners""]","[""White label partner performance reports"",""Financial reports"",""Operational reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""GGR"",""NGR"",""Player"",""Transaction"",""White Label"",""Partner""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""White label"",""Partner performance"",""Financial data"",""Operational details""]","[""GGR"",""NGR"",""Player"",""Transaction"",""White Label"",""Partner""]",White Label Partners Performance,"This table contains detailed information about each white label partner, including their performance metrics, financial data, and operational details.","This table is related to the player transactions table, the financial reporting table, and the operational metrics table, as it uses data from these tables to track and analyze the performance of white label partners.",Confidential,2025-07-02 06:46:07.9604343
229,tbl_Withdrawal_requests,common,To track and manage all withdrawal requests made by players on the online gambling platform.,General - Operational Data,"Used primarily for managing player withdrawals, ensuring timely processing, and tracking financial transactions.",[],"[""Withdrawal requests must be linked to a valid player account"",""Withdrawal status must be updated in a timely manner"",""All withdrawal amounts must be accurately recorded""]",1,2025-07-02 06:15:50.2642881,2025-07-02 06:46:25.6815423,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,General Operations,"[""Withdrawal Records"",""Player Payouts"",""Withdrawal Transactions""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 06:46:25.6815427,Finance Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the record of all withdrawal requests made by players, including the amount, date, status, and associated player and transaction details.","[""Player account management"",""Financial tracking"",""Fraud detection""]","[""Analyzing withdrawal patterns"",""Identifying potential fraudulent activities"",""Tracking financial performance""]","[""Financial Reports"",""Player Activity Reports"",""Fraud Detection Reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""GGR"",""NGR"",""Player"",""Transaction"",""Withdrawal"",""Payout""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""Withdrawal"",""Player"",""Transaction"",""Payout"",""Finance""]","[""GGR"",""NGR"",""Player"",""Transaction"",""Withdrawal"",""Payout""]",Player Withdrawal Requests,"This table contains detailed information about each withdrawal request made by players, including the amount requested, the date of the request, the status of the request, and the player's account details.",This table is linked to the player accounts table through the player ID and to the transactions table through the transaction ID. It is crucial for financial tracking and player account management.,Confidential,2025-07-02 06:46:25.6815395
230,Games,dbo,To manage and track all games available on the online gambling platform.,General - Operational Data,"Used for managing the game inventory, tracking game performance, and analyzing player behavior.",[],"[""All games must have a unique identifier"",""Game status must be updated regularly"",""Game type must be categorized correctly""]",1,2025-07-02 06:15:50.2645515,2025-07-02 06:46:39.0500883,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Gaming Activity,"[""Game Catalog"",""Game List"",""Game Repository""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.7500,0.8000,2025-07-02 06:46:39.0500887,Game Operations Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the comprehensive list of all games, their types, status, and other related attributes in the gambling domain.","[""Game launch process"",""Game retirement process"",""Game performance review""]","[""Game performance analysis"",""Player preference analysis"",""Revenue generation analysis""]","[""Game performance reports"",""Revenue reports"",""Player preference reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""RTP"",""House Edge"",""Game Type"",""Game Status"",""Launch Date""]",0.90,"[""Game catalog and configuration"",""Gaming content management"",""Game performance tracking""]","[""Game"",""Inventory"",""Catalog"",""Repository""]","[""RTP"",""House Edge"",""Game Type"",""Game Status"",""Launch Date""]",Game Inventory,"This table contains detailed information about all the games available on the platform, including their types, status, launch date, and other game-specific attributes.","This table is related to player transactions, game performance metrics, and player behavior analytics.",Internal,2025-07-02 06:46:39.0500861
231,GamesCasinoSessions,dbo,To track and analyze all individual game sessions on the casino platform.,General - Operational Data,"Used for analyzing player behavior, game performance, and revenue generation.",[],"[""Each session must be linked to a valid player"",""Bet amounts must be positive"",""Session duration must be calculated accurately""]",1,2025-07-02 06:15:50.2646836,2025-07-02 06:46:53.9865877,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Gaming Activity,"[""Game Sessions"",""Player Sessions"",""Casino Sessions""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.7500,0.8000,2025-07-02 06:46:53.9865881,Data Analytics Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents individual game sessions, capturing data such as game type, player ID, session duration, and bet amounts.","[""Player behavior tracking"",""Revenue calculation"",""Game performance monitoring""]","[""Player behavior analysis"",""Game performance analysis"",""Revenue forecasting""]","[""Player behavior reports"",""Revenue reports"",""Game performance reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""GGR"",""NGR"",""Player"",""Session"",""Bet"",""Win""]",0.90,"[""Game catalog and configuration"",""Gaming content management"",""Game performance tracking""]","[""Game session"",""Player behavior"",""Casino revenue"",""Game performance""]","[""GGR"",""NGR"",""Player"",""Session"",""Bet"",""Win""]",Casino Game Sessions,"This table contains detailed information about each game session, including the player involved, the game played, the duration of the session, and the amounts bet and won.","This table is linked to the Player and Game tables, and feeds into the Revenue and Player Behavior Analysis processes.",Confidential,2025-07-02 06:46:53.9865859
232,GamesDescriptions,dbo,To provide comprehensive descriptions of all games available on the online gambling platform.,General - Operational Data,"Used to inform players about the specifics of each game, helping them make informed decisions.",[],"[""All games must have a description"",""Descriptions must be updated when game rules change"",""Descriptions must be approved by the Game Operations Team""]",1,2025-07-02 06:15:50.2648351,2025-07-02 06:47:13.4247975,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Gaming Activity,"[""Game Details"",""Game Info"",""Game Specifications""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.7500,0.8000,2025-07-02 06:47:13.4247979,Game Operations Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the detailed descriptions of all games, including their rules, betting limits, and other relevant information in the gambling domain.","[""Game introduction process"",""Game update process"",""Player onboarding process""]","[""Analyzing game popularity"",""Determining game profitability"",""Identifying trends in game preferences""]","[""Game performance reports"",""Player preference reports"",""Game profitability reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""RTP"",""House Edge"",""Betting Limit"",""Game Rules"",""Game Description""]",0.90,"[""Game catalog and configuration"",""Gaming content management"",""Game performance tracking""]","[""Game rules"",""Betting limits"",""Game descriptions""]","[""RTP"",""House Edge"",""Betting Limit"",""Game Rules"",""Game Description""]",Game Descriptions,"This table contains detailed descriptions of all games available on the platform, including their rules, betting limits, and other relevant information.",This table is related to the 'Games' table (which contains basic game information) and the 'PlayerBets' table (which logs player bets on these games).,Internal,2025-07-02 06:47:13.4247956
233,GamesExcludedByCountry,dbo,To enforce regional restrictions on certain games and ensure compliance with local laws and regulations.,General - Operational Data,Used to filter out games that are not allowed to be offered to players based on their geographical location.,[],"[""A game can be excluded in multiple countries"",""A country can have multiple games excluded"",""Exclusions must be reviewed and updated annually""]",1,2025-07-02 06:15:50.2650796,2025-07-02 06:47:27.1818397,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Gaming Activity,"[""Game Restrictions"",""Regional Game Exclusions"",""Country-Specific Game Bans""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.7500,0.8000,2025-07-02 06:47:27.1818400,Compliance Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}",This table represents the list of games that are excluded from being offered in certain countries due to legal or regulatory restrictions.,"[""Game selection process"",""Player access control"",""Compliance reporting""]","[""Analyzing regional game preferences"",""Identifying potential legal issues"",""Evaluating market opportunities""]","[""Compliance reports"",""Market analysis reports"",""Game performance reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Player"",""Game"",""Country"",""Legal Compliance"",""Regulatory Restrictions""]",0.90,"[""Game catalog and configuration"",""Gaming content management"",""Game performance tracking""]","[""Game restrictions"",""Regional exclusions"",""Compliance"",""Country-specific""]","[""Player"",""Game"",""Country"",""Legal Compliance"",""Regulatory Restrictions""]",Regionally Restricted Games,This table contains information about which games are not available in certain countries due to legal restrictions or company policies.,This table is related to the 'Games' and 'Countries' tables and is used in the process of game selection and player access control.,Confidential,2025-07-02 06:47:27.1818380
234,GamesExcludedByJurisdiction,dbo,To manage and track games that are excluded by certain jurisdictions due to legal or regulatory constraints.,General - Operational Data,Used to filter out games that are not available to players based on their jurisdiction.,[],"[""A game can be excluded in multiple jurisdictions"",""A jurisdiction can exclude multiple games"",""Exclusions are based on legal and regulatory constraints""]",1,2025-07-02 06:15:50.2652180,2025-07-02 06:47:42.8842498,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Gaming Activity,"[""Excluded Games"",""Restricted Games"",""Jurisdiction Restrictions""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.7500,0.8000,2025-07-02 06:47:42.8842501,Legal and Compliance Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}",This table represents the list of games that are not allowed to be played in certain jurisdictions due to legal or regulatory restrictions in the online gambling domain.,"[""Game selection process"",""Risk assessment process"",""Legal compliance process""]","[""Analyzing the impact of jurisdiction restrictions on game availability"",""Identifying potential markets for new games"",""Assessing the legal risk associated with game offerings""]","[""Legal compliance reports"",""Risk assessment reports"",""Game availability reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Game"",""Jurisdiction"",""Legal"",""Regulatory"",""Exclusion""]",0.90,"[""Game catalog and configuration"",""Gaming content management"",""Game performance tracking""]","[""Excluded"",""Games"",""Jurisdiction"",""Legal"",""Regulatory""]","[""Game"",""Jurisdiction"",""Legal"",""Regulatory"",""Exclusion""]",Jurisdiction Excluded Games,This table contains information about games that are excluded in certain jurisdictions due to legal or regulatory constraints.,This table relates to the 'Games' table (which lists all games) and the 'Jurisdictions' table (which lists all jurisdictions). It is used in the process of player game selection.,Confidential,2025-07-02 06:47:42.8842472
235,GamesExcludedByLabel,dbo,To track and manage games that are excluded from certain promotional labels within the online gambling platform.,General - Operational Data,Used primarily for managing promotional campaigns and ensuring the right games are included in the right promotions.,[],"[""A game can be excluded from multiple promotional labels"",""A promotional label can exclude multiple games"",""Exclusions can be temporary or permanent""]",1,2025-07-02 06:15:50.2653351,2025-07-02 06:48:00.8708435,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Gaming Activity,"[""Promotion Exclusion List"",""Non-eligible Games"",""Excluded Games""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.7500,0.8000,2025-07-02 06:48:00.8708437,Marketing Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the list of games that are not eligible for certain promotional labels, providing a mechanism to exclude specific games from promotions.","[""Promotion Management"",""Game Management"",""Marketing Analysis""]","[""Analyzing the impact of exclusions on game popularity"",""Identifying patterns in game exclusions"",""Evaluating the effectiveness of promotional campaigns""]","[""Promotion Reports"",""Game Performance Reports"",""Marketing Analysis Reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Promotional Label"",""Game"",""Exclusion"",""Marketing Campaign"",""Player""]",0.90,"[""Game catalog and configuration"",""Gaming content management"",""Game performance tracking""]","[""Promotion"",""Exclusion"",""Game"",""Marketing"",""Campaign""]","[""Promotional Label"",""Game"",""Exclusion"",""Marketing Campaign"",""Player""]",Excluded Games from Promotions,"This table contains a list of all the games that are excluded from certain promotional labels, helping the marketing team to manage promotional campaigns effectively.","This table relates to the 'Games' and 'Promotions' tables, providing a link between the games and the promotional labels they are excluded from.",Internal,2025-07-02 06:48:00.8708379
236,GamesFreeSpinsOffers,dbo,To track and manage free spin offers provided to players on various games,General - Operational Data,Tracking and managing free spin offers,[],"[""Each offer must be linked to a specific game"",""Each offer must have a unique offer ID"",""The number of free spins must be a positive integer""]",1,2025-07-02 06:15:50.2654575,2025-07-02 06:48:19.5438383,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Gaming Activity,"[""Free Spin Offers"",""Game Offers"",""Bonus Spins""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.7500,0.8000,2025-07-02 06:48:19.5438387,Marketing Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}",This table represents the metadata of free spin offers on different games in the online gambling platform,"[""Player Engagement Process"",""Marketing Campaign Process"",""Player Retention Process""]","[""Analyzing the popularity of free spin offers"",""Evaluating the impact of free spin offers on player engagement"",""Determining the cost-effectiveness of free spin offers""]","[""Player Engagement Reports"",""Marketing Campaign Reports"",""Player Retention Reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Player"",""Game"",""Free Spin"",""Offer"",""Engagement""]",0.90,"[""Game catalog and configuration"",""Gaming content management"",""Game performance tracking""]","[""Free Spins"",""Game Offers"",""Player Bonuses""]","[""Player"",""Game"",""Free Spin"",""Offer"",""Engagement""]",Game Free Spin Offers,"This table contains detailed information about the free spin offers provided to players on various games, including the game ID, offer ID, number of free spins, and the date of the offer",This table is related to the 'Games' table (which contains game details) and the 'Players' table (which contains player details). It is used in the process of offering free spins to players,Internal,2025-07-02 06:48:19.5438364
237,SportBetsEnhanced,dbo,To track and analyze all sports-related bets placed on the platform.,General - Operational Data,"Used for tracking user betting activity, calculating gross and net gaming revenue, and analyzing betting patterns.",[],"[""All bets must be linked to a registered user"",""Bets must be placed before the start of the event"",""Betting amounts must be positive""]",1,2025-07-02 06:15:50.2655488,2025-07-02 06:48:37.8129007,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Sports Betting,"[""Sports Wagers"",""Sports Betting Data"",""Sports Gambling Activity""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 06:48:37.8129008,Sports Betting Operations Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents all the sports-related bets placed by users on the platform, including bet details, bet amounts, and outcomes.","[""Revenue calculation process"",""User behavior analysis process"",""Compliance reporting process""]","[""Gross Gaming Revenue calculation"",""Net Gaming Revenue calculation"",""Betting pattern analysis"",""User betting behavior analysis""]","[""Revenue reports"",""Compliance reports"",""User behavior reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Bettor"",""Odds"",""Stake""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""Sports betting"",""Wagers"",""GGR"",""NGR"",""Betting patterns""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Bettor"",""Odds"",""Stake""]",Sports Betting Activity,"This table contains detailed information about all sports-related bets placed by users, including the type of sport, bet amount, odds, outcome, and revenue generated.","This table is related to the User table (for bettor details), the Sports table (for sports details), and the Transactions table (for payment details).",Confidential,2025-07-02 06:48:37.8128999
238,SportBetStates,dbo,To track and manage the states of sports bets placed by players on the platform.,General - Operational Data,Monitoring and managing the lifecycle of sports bets placed by players.,[],"[""A bet can only be in one state at a time"",""A bet must be placed before it can be won, lost, or cancelled"",""The outcome of a bet must be determined before it can be settled""]",1,2025-07-02 06:15:50.2656440,2025-07-02 06:48:57.0259563,Enhanced Metadata Generation System,Comprehensive AI Metadata Generator,Sports Betting,"[""Sports Bet Lifecycle"",""Bet Statuses"",""Sports Wager States""]","{""PrimaryAccess"":""Reference lookups"",""QueryFrequency"":""Medium"",""DataVolume"":""Small"",""UpdateFrequency"":""Infrequent"",""AccessPatterns"":[""Analytical queries"",""Reporting dashboards"",""Business intelligence""]}","{""CompletenessScore"":0.95,""AccuracyScore"":0.92,""ConsistencyScore"":0.88,""TimelinessScore"":0.9,""ValidityScore"":0.94,""QualityChecks"":[""Null value validation"",""Data type consistency"",""Business rule compliance""]}","{""PrimaryRelationships"":[""DailyActions""],""RelationshipTypes"":[""One-to-Many""],""BusinessMeaning"":""Reference data supporting main business operations""}",0.5000,0.8000,2025-07-02 06:48:57.0259566,Sports Betting Operations Team,"{""DataClassification"":""Internal"",""RetentionPeriod"":""Indefinite"",""AccessControls"":[""Role-based access"",""Audit logging"",""Data masking""],""ComplianceRequirements"":[""GDPR"",""Gaming regulations"",""Financial reporting""]}","This table represents the various states of sports bets, including placed, pending, won, lost, and cancelled, in the online gambling domain.","[""Bet placement process"",""Bet settlement process"",""Risk management process""]","[""Analyzing betting patterns"",""Identifying potential fraudulent activity"",""Evaluating player betting behavior""]","[""Sports Betting Reports"",""Risk Management Reports"",""Player Behavior Reports""]","{""CoreEntity"":false,""RelatedEntities"":[""DailyActions""],""RelationshipStrength"":""Medium"",""BusinessImpact"":""Medium""}","[""Simple lookup queries"",""Use appropriate indexes"",""Consider caching for reference data""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Player"",""Transaction"",""Sports Event"",""Bet Settlement""]",0.90,"[""Reference data for system operations"",""Master data for business processes""]","[""Sports betting"",""Bet status"",""Wager state"",""Betting lifecycle""]","[""Gross Gaming Revenue (GGR)"",""Net Gaming Revenue (NGR)"",""Player"",""Transaction"",""Sports Event"",""Bet Settlement""]",Sports Bet Status Tracker,"This table contains detailed information about the states of sports bets placed by players, including the time of bet placement, the state of the bet, the amount wagered, and the outcome.","This table is related to the Player table (via player_id), the Sports Events table (via event_id), and the Transaction table (via transaction_id). It is used in processes such as bet settlement, risk management, and player account management.",Confidential,2025-07-02 06:48:57.0259554
